Date,From, To, number of datasets,Non geospatial, % of non-geospatial with 3+ rating,number of API enabled datasets,% of API enable datasets ,Totals downloads,Total visits
2023-11-10,2023-04-01,2023-11-10,3566,1945,49.31,10,2.23,732762,1683055
2023-11-09,2023-04-01,2023-11-09,3056,1945,49.31,10,2.23,732762,1683055
2023-11-08,2023-04-01,2023-11-08,3056,1945,49.31,10,2.23,732762,1683055
2023-11-07,2023-04-01,2023-11-07,3056,1945,49.31,10,2.23,732762,1683055
2023-11-06,2023-04-01,2023-11-06,3056,1945,49.31,10,2.23,732762,1683055
2023-11-05,2023-04-01,2023-11-05,3056,1945,49.31,10,2.23,732762,1683055
2023-11-04,2023-04-01,2023-11-04,3056,1945,49.31,10,2.23,732762,1683055
2023-11-03,2023-04-01,2023-11-03,3052,1945,49.31,10,2.23,732762,1683055
2023-11-02,2023-04-01,2023-11-02,3045,1945,49.31,10,2.23,732762,1683055
2023-11-01,2023-04-01,2023-11-01,3025,1945,49.31,10,2.23,578688,1384180
2023-10-31,2023-04-01,2023-10-31,3025,1945,49.31,10,2.23,578688,1384180
2023-10-30,2023-04-01,2023-10-30,3024,1945,49.31,10,2.23,578688,1384180
2023-10-29,2023-04-01,2023-10-29,3024,1945,49.31,10,2.23,578688,1384180
2023-10-28,2023-04-01,2023-10-28,3022,1945,49.31,10,2.23,578688,1384180
2023-10-27,2023-04-01,2023-10-27,3024,1945,49.31,10,2.23,578688,1384180
2023-10-26,2023-04-01,2023-10-26,3015,1945,49.31,10,2.23,578688,1384180
2023-10-25,2023-04-01,2023-10-25,3015,1945,49.31,10,2.23,578688,1384180
2023-10-24,2023-04-01,2023-10-24,3011,1945,49.31,10,2.23,578688,1384180
2023-10-23,2023-04-01,2023-10-23,3011,1945,49.31,10,2.23,578688,1384180
2023-10-22,2023-04-01,2023-10-22,3011,1945,49.31,10,2.23,578688,1384180
2023-10-21,2023-04-01,2023-10-21,3003,1945,49.31,10,2.23,578688,1384180
2023-10-20,2023-04-01,2023-10-20,2998,1945,49.31,10,2.23,578688,1384180
2023-10-19,2023-04-01,2023-10-19,2980,1945,49.31,10,2.23,578688,1384180
2023-10-18,2023-04-01,2023-10-18,2978,1945,49.31,10,2.23,578688,1384180
2023-10-17,2023-04-01,2023-10-17,2953,1945,49.31,10,2.23,578688,1384180
2023-10-16,2023-04-01,2023-10-16,2945,1945,49.31,10,2.23,578688,1384180
2023-10-15,2023-04-01,2023-10-15,2945,1945,49.31,10,2.23,578688,1384180
2023-10-14,2023-04-01,2023-10-14,2975,1945,49.31,10,2.23,578688,1384180
2023-10-13,2023-04-01,2023-10-13,2945,1945,49.31,10,2.23,578688,1384180
2023-10-12,2023-04-01,2023-10-12,2942,1945,49.31,10,2.23,578688,1384180
2023-10-11,2023-04-01,2023-10-11,2938,1945,49.31,10,2.23,578688,1384180
2023-10-10,2023-04-01,2023-10-10,2937,1945,49.31,9,2.0,578688,1384180
2023-10-09,2023-04-01,2023-10-09,2937,1945,49.31,9,2.0,578688,1384180
2023-10-08,2023-04-01,2023-10-08,2937,1945,49.31,9,2.0,578688,1384180
2023-10-07,2023-04-01,2023-10-07,2937,1945,49.31,9,2.0,578688,1384180
2023-10-06,2023-04-01,2023-10-06,2935,1945,49.31,9,2.0,578688,1384180
2023-10-05,2023-04-01,2023-10-05,2931,1946,49.33,9,2.0,578688,1384180
2023-10-04,2023-04-01,2023-10-04,2877,1966,49.85,9,1.92,578688,1384180
2023-10-03,2023-04-01,2023-10-03,2877,1966,49.85,9,1.92,490651,1177657
2023-10-02,2023-04-01,2023-10-02,2877,1967,49.87,9,1.91,490651,1177657
2023-10-01,2023-04-01,2023-10-01,2877,1967,49.87,9,1.91,490651,1177657
2023-09-30,2023-04-01,2023-09-30,2877,1967,49.87,9,1.91,490651,1177657
2023-09-29,2023-04-01,2023-09-29,2869,1967,49.87,9,1.91,490651,1177657
2023-09-28,2023-04-01,2023-09-28,2869,1967,49.87,9,1.91,490651,1177657
2023-09-27,2023-04-01,2023-09-27,2867,1970,49.95,9,1.9,490651,1177657
2023-09-26,2023-04-01,2023-09-26,2866,1970,49.95,9,1.9,490651,1177657
2023-09-25,2023-04-01,2023-09-25,2865,1971,49.97,9,1.9,490651,1177657
2023-09-24,2023-04-01,2023-09-24,2865,1971,49.97,9,1.9,490651,1177657
2023-09-23,2023-04-01,2023-09-23,2864,1971,49.97,9,1.9,490651,1177657
2023-09-22,2023-04-01,2023-09-22,2864,1971,49.97,9,1.9,490651,1177657
2023-09-21,2023-04-01,2023-09-21,2863,1971,49.97,9,1.9,490651,1177657
2023-09-20,2023-04-01,2023-09-20,2862,1971,49.97,9,1.9,490651,1177657
2023-09-19,2023-04-01,2023-09-19,3094,2269,56.54,9,1.17,490651,1177657
2023-09-18,2023-04-01,2023-09-18,3094,2269,56.54,9,1.17,490651,1177657
2023-09-17,2023-04-01,2023-09-17,3094,2269,56.54,9,1.17,490651,1177657
2023-09-16,2023-04-01,2023-09-16,3094,2269,56.54,9,1.17,490651,1177657
2023-09-15,2023-04-01,2023-09-15,3093,2269,56.54,9,1.17,490651,1177657
2023-09-14,2023-04-01,2023-09-14,3062,2269,56.54,9,1.17,490651,1177657
2023-08-31,2023-04-01,2023-08-31,3022,2045,53.74,2,0.34,403752,971866
2023-08-30,2023-04-01,2023-08-30,2989,2045,53.74,2,0.34,403752,971866
2023-08-29,2023-04-01,2023-08-29,2990,2045,53.74,2,0.34,403752,971866
2023-08-28,2023-04-01,2023-08-28,2990,2045,53.74,2,0.34,403752,971866
2023-08-27,2023-04-01,2023-08-27,2990,2045,53.74,2,0.34,403752,971866
2023-08-26,2023-04-01,2023-08-26,2990,2045,53.74,2,0.34,403752,971866
2023-08-25,2023-04-01,2023-08-25,2989,2045,53.74,2,0.34,403752,971866
2023-08-24,2023-04-01,2023-08-24,2989,2045,53.74,2,0.34,403752,971866
2023-08-23,2023-04-01,2023-08-23,2987,2045,53.74,2,0.34,403752,971866
2023-08-22,2023-04-01,2023-08-22,2986,2045,53.74,2,0.34,403752,971866
2023-08-21,2023-04-01,2023-08-21,2986,2045,53.74,2,0.34,403752,971866
2023-08-20,2023-04-01,2023-08-20,2986,2045,53.74,2,0.34,403752,971866
2023-08-19,2023-04-01,2023-08-19,2982,2045,53.74,2,0.34,403752,971866
2023-08-17,2023-04-01,2023-08-17,2979,2045,53.74,2,0.34,403752,971866
2023-08-16,2023-04-01,2023-08-16,2973,2045,53.74,2,0.34,403752,971866
2023-08-15,2023-04-01,2023-08-15,2973,2045,53.74,2,0.34,403752,971866
